service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20250901,20260104
1,1,1,1,1,1,0,0,20250901,20260104
101,0,0,0,0,0,0,0,20250901,20260104
1101,0,0,0,0,0,0,0,20250901,20260104
1201,0,0,0,0,0,0,0,20250901,20260104
152201,0,0,0,0,0,0,0,20250901,20260104
152301,0,0,0,0,0,0,0,20250901,20260104
155601,0,0,0,0,0,0,0,20250901,20260104
162503,0,0,0,0,0,0,0,20250901,20260104
162601,0,0,0,0,0,0,0,20250901,20260104
169801,0,0,0,0,0,0,0,20250901,20260104
1803,0,0,0,0,0,0,0,20250901,20260104
1901,0,0,0,0,0,0,0,20250901,20260104
2,0,0,0,0,0,1,0,20250901,20260104
2001,0,0,0,0,0,0,0,20250901,20260104
201,0,0,0,0,0,0,0,20250901,20260104
253403,0,0,0,0,0,0,0,20250901,20260104
259801,0,0,0,0,0,0,0,20250901,20260104
259802,0,0,0,0,0,0,0,20250901,20260104
259803,0,0,0,0,0,0,0,20250901,20260104
3,0,0,0,0,0,0,1,20250901,20260104
32603,0,0,0,0,0,0,0,20250901,20260104
401,0,0,0,0,0,0,0,20250901,20260104
62101,0,0,0,0,0,0,0,20250901,20260104
62201,0,0,0,0,0,0,0,20250901,20260104
701,0,0,0,0,0,0,0,20250901,20260104
75301,0,0,0,0,0,0,0,20250901,20260104
75401,0,0,0,0,0,0,0,20250901,20260104
801,0,0,0,0,0,0,0,20250901,20260104
